SampleNumber,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Target Label
26,2.95,6.86,1.44,3.01,0.06,2.09,0.79,0.68,0,59.1,52,54.4,8.63,5.47,5.84,0.15,0.05,26.1,4,0.8,V1
27,3.15,7.15,1.44,3.18,0.06,2.21,0.77,0.69,0,70.8,59.3,57.4,18.34,11.37,9.76,1.08,0.34,30.1,5.5,4.3,V1
28,3.48,7.66,1.56,3.27,0.05,2.1,0.75,0.68,0,57.9,51.9,51.7,6.56,5.01,4.84,0.27,0.08,25.8,3,2.6,V1
29,3.41,7.39,1.63,3.17,0.09,1.94,0.78,0.66,0,70.2,55.3,53.6,14.64,8.31,7.07,1.1,0.32,28.7,7.2,5,V1
30,4,8.23,1.61,3.6,0.04,2.24,0.74,0.69,0,60,53.6,54,8.59,5.95,5.71,0.5,0.13,26.8,3.3,2.1,V1
31,3.27,7.22,1.63,2.95,0.07,1.82,0.79,0.68,0,55.2,50.1,52.4,6.62,4.28,4.15,0.08,0.02,24.9,3,0.6,V1
32,3.78,7.78,1.69,3.27,0.08,1.93,0.79,0.69,0,56,49.7,51.6,13.91,8.82,8.58,0.54,0.14,24.9,3.5,1.1,V1
33,3.69,7.8,1.84,3.07,0.06,1.67,0.76,0.66,0,57.5,50.4,54,7.72,6.35,6.57,0.16,0.04,25.4,4.3,0,V1
34,3.42,7.49,1.52,3.27,0.05,2.14,0.77,0.69,0,54.7,49.2,50.9,7.85,5.46,5.84,0.06,0.02,24.5,3.1,1.1,V1
35,3.41,7.42,1.52,3.18,0.07,2.09,0.78,0.7,0,56.6,49.2,53.3,7.52,5.03,4.95,0.05,0.01,24.8,4.5,-0.3,V1
36,3.41,7.49,1.52,3.27,0.07,2.14,0.76,0.69,0,61.1,53.6,57.9,6.47,4.86,4.71,0.31,0.09,27.1,4.6,-0.5,V1
